Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
KOSM,Kohinoor Spinning Mills Limited,830,TEXTILE SPINNING,500,1
KPUS,Khairpur Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,1,1
KSBP,KSB Pumps Company Limited,808,ENGINEERING,1,1
KSTM,Khalid Siraj Textile Mills Limited,830,TEXTILE SPINNING,500,1
KTML,Kohinoor Textile Mills Limited,829,TEXTILE COMPOSITE,1,1
LCI,Lucky Core Industries Limited,805,CHEMICAL,1,1
LEUL,Leather Up Limited,816,LEATHER & TANNERIES,500,1
LMSM,Landmark Spinning Industries Limited,830,TEXTILE SPINNING,500,1
LOADS,Loads Limited,802,AUTOMOBILE PARTS & ACCESSORIES,500,1
LOTCHEM,Lotte Chemical Pakistan Limited,805,CHEMICAL,1,1
LPGL,Leiner Pak Gelatine Limited,805,CHEMICAL,500,1
LPL,Lalpir Power Limited,824,POWER GENERATION & DISTRIBUTION,1,1
LSEVL,LSE Ventures Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
LUCK,Lucky Cement Limited,804,CEMENT,1,1
MACFL,MACPAC Films Limited,822,"PAPER, BOARD & PACKAGING",500,1
MACTER,Macter International Limited,823,PHARMACEUTICALS,500,1
MARI,Mari Petroleum Company Limited,820,OIL & GAS EXPLORATION COMPANIES,1,1
MCB,MCB Bank Limited,807,COMMERCIAL BANKS,1,1
MCBIM,MCB Investment Management Limited.,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
MDTL,Media Times Limited,828,TECHNOLOGY & COMMUNICATION,500,1
MEBL,Meezan Bank Limited,807,COMMERCIAL BANKS,1,1
MEHT,Mehmood Textile Mills Limited,829,TEXTILE COMPOSITE,1,1
MERIT,Merit Packaging Limited,822,"PAPER, BOARD & PACKAGING",500,1
MFFL,Mitchells Fruit Farms Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
MFL,Matco Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
MFTM,Mohammad Farooq Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
MIIETF,Mahaana Islamic Index ETF,837,EXCHANGE TRADED FUNDS,500,1
MIRKS,Mirpurkhas Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
MLCF,Maple Leaf Cement Factory Limited,804,CEMENT,1,1
MOHE,Mohib Exports Limited,831,TEXTILE WEAVING,500,1
MQTM,Maqbool Textile Mills Limited,830,TEXTILE SPINNING,500,1
MRNS,Mehran Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
MSCL,Metropolitan Steel Corporation Limited,808,ENGINEERING,500,1
MSOT,Masood Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
MSOTPS,Masood Textile (Pref),829,TEXTILE COMPOSITE,500,1
MTL,Millat Tractors Limited,801,AUTOMOBILE ASSEMBLER,1,1
MUBT,Mubarak Textile Mills Limited,829,TEXTILE COMPOSITE,500,1
MUGHAL,Mughal Iron & Steel Industries Limited,808,ENGINEERING,1,1
MUREB,Murree Brewery Company Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
MWMP,Mandviwala Mauser Plastic Industries,818,MISCELLANEOUS,500,1
MZNPETF,Meezan Pakistan ETF,837,EXCHANGE TRADED FUNDS,500,1
NAFL,National Fibres Limited,827,SYNTHETIC & RAYON,500,1
NAGC,Nagina Cotton Mills Limited,830,TEXTILE SPINNING,500,1
NATF,National Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
NATM,Nadeem Textile Mills Limited,830,TEXTILE SPINNING,500,1
NBP,National Bank of Pakistan,807,COMMERCIAL BANKS,1,1
NBPGETF,NBP Pakistan  Growth ETF,837,EXCHANGE TRADED FUNDS,500,1
NCL,Nishat Chunian Limited,829,TEXTILE COMPOSITE,1,1
NCML,Nazir Cotton Mills Limited,830,TEXTILE SPINNING,500,1
NCPL,Nishat Chunian Power Limited,824,POWER GENERATION & DISTRIBUTION,1,1
NESTLE,Nestle Pakistan Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
NETSOL,NetSol Technologies Limited,828,TECHNOLOGY & COMMUNICATION,1,1
NEXT,Next Capital Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
NICL,Nimir Industrial Chemicals Limited,805,CHEMICAL,500,1
NINA,Nina Industries Limited,829,TEXTILE COMPOSITE,500,0
NITGETF,NIT Pakistan Gateway ETF,837,EXCHANGE TRADED FUNDS,500,1
NMFL,Nirala MSR Foods Limited,810,FOOD & PERSONAL CARE PRODUCTS,500,1
NML,Nishat Mills Limited,829,TEXTILE COMPOSITE,1,1
NONS,Noon Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
NPL,Nishat Power Limited,824,POWER GENERATION & DISTRIBUTION,1,1
NRL,National Refinery Limited,825,REFINERY,1,1
NRSL,Nimir Resins Limited,805,CHEMICAL,500,1
