"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"INDIVIDUALS","S1111","All other Sectors","FUT","30,975,000","1,028,837,110","(34,580,500)","(1,051,468,480)","(3,605,500)","(22,631,370)","(80,538)"
"INDIVIDUALS","S1111","All other Sectors","GEM","100","600","0","0","100","600","2"
"INDIVIDUALS","S0005","Cement","ODL","3,389","75,653","(3,337)","(74,745)","52","908","3"
"INDIVIDUALS","S0007","Fertilizer","ODL","1","35","(1)","(35)","0","0","0"
"INDIVIDUALS","S0008","Food and Personal Care Products","ODL","2,671","123,850","(2,567)","(131,660)","104","(7,810)","(27)"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","ODL","10,000","123,061","(8,669)","(106,715)","1,331","16,346","58"
"INDIVIDUALS","S0023","Power Generation and Distribution","ODL","1,891","44,482","(2,429)","(62,055)","(538)","(17,572)","(62)"
"INDIVIDUALS","S0026","Commercial Banks","ODL","3,283","49,173","(2,684)","(44,794)","599","4,379","15"
"INDIVIDUALS","S0028","Technology and Communication","ODL","678","28,821","(678)","(28,821)","0","0","0"
"INDIVIDUALS","S0029","Textile Composite","ODL","22","5,150","(22)","(5,150)","0","0","0"
"INDIVIDUALS","S1111","All other Sectors","ODL","73,113","3,040,720","(62,658)","(2,565,322)","10,455","475,397","1,691"
"INDIVIDUALS","S0005","Cement","OMKT","250,000","6,487,500","(250,000)","(6,487,500)","0","0","0"
"INDIVIDUALS","S0007","Fertilizer","OMKT","1,000","123,140","(1,000)","(123,140)","0","0","0"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","OMKT","82","9,225","0","0","82","9,225","32"
"INDIVIDUALS","S1111","All other Sectors","OMKT","2,817,500","14,360,200","(5,000)","(1,170,500)","2,812,500","13,189,700","46,938"
"INDIVIDUALS","S0005","Cement","REG","8,736,005","421,748,978","(7,904,473)","(390,467,134)","831,532","31,281,844","111,323"
"INDIVIDUALS","S0007","Fertilizer","REG","5,293,364","504,788,755","(6,656,670)","(589,376,145)","(1,363,306)","(84,587,389)","(301,022)"
"INDIVIDUALS","S0008","Food and Personal Care Products","REG","14,920,511","253,859,947","(14,076,373)","(250,653,475)","844,138","3,206,472","11,410"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","REG","8,441,752","1,134,813,760","(7,644,985)","(1,011,353,138)","796,767","123,460,621","439,361"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","REG","36,982,616","763,396,129","(38,742,549)","(794,555,268)","(1,759,933)","(31,159,139)","(110,886)"
"INDIVIDUALS","S0023","Power Generation and Distribution","REG","81,873,038","673,077,070","(89,816,205)","(711,074,900)","(7,943,167)","(37,997,830)","(135,223)"
"INDIVIDUALS","S0026","Commercial Banks","REG","20,009,039","336,004,930","(18,353,544)","(301,985,208)","1,655,495","34,019,722","121,066"
"INDIVIDUALS","S0028","Technology and Communication","REG","39,624,471","868,176,202","(33,270,229)","(861,494,794)","6,354,242","6,681,407","23,777"
"INDIVIDUALS","S0029","Textile Composite","REG","1,549,778","51,419,225","(1,629,098)","(59,631,885)","(79,320)","(8,212,659)","(29,226)"
"INDIVIDUALS","S1111","All other Sectors","REG","116,712,773","3,921,311,822","(114,444,837)","(3,905,520,996)","2,267,936","15,790,825","56,195"
"","","","TOTAL","416,670,340","11,786,239,310","(421,753,214)","(11,754,353,830)","(5,082,874)","31,885,479","113,472"
"INSURANCE COMPANIES","S0005","Cement","FUT","0","0","(500)","(40,300)","(500)","(40,300)","(143)"
"INSURANCE COMPANIES","S0023","Power Generation and Distribution","FUT","0","0","(29,000)","(173,710)","(29,000)","(173,710)","(618)"
